SHIPMENTID,VESSEL,IMO,VOYAGE#,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,EQUIPMENTTYPECODE,HAZMAT,GROSS_WEIGHT,weight_uom
417914,YM WITNESS,9704609,027E,KAOHSIUNG,NEW YORK,13-09-2020 06:20,21-09-2020 17:22,40ST,N,,
421505,NAGOYA EXPRESS,9450428,060W,VANCOUVER,SHANGHAI,03-10-2020 14:30,13-10-2020 20:15,40ST,N,,
421506,YM MODERATION,9664897,051W,VANCOUVER,SHANGHAI,27-09-2020 08:30,28-09-2020 00:21,40ST,N,,
421515,NAGOYA EXPRESS,9450428,060W,VANCOUVER,SHANGHAI,03-10-2020 14:30,11-10-2020 09:46,40ST,N,,
421523,YM MODERATION,9664897,051W,VANCOUVER,SHANGHAI,27-09-2020 08:30,21-10-2020 18:46,40ST,N,,
421524,NAGOYA EXPRESS,9450428,060W,VANCOUVER,SHANGHAI,03-10-2020 14:30,10-10-2020 08:32,40ST,N,,
423856,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,12-10-2020 18:07,40HC,N,,
423882,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,13-10-2020 01:08,40HC,N,,
425646,HYUNDAI BRAVE,9346304,089W,VANCOUVER,SHANGHAI,09-10-2020 04:00,16-10-2020 05:52,40ST,N,,
426031,NAGOYA EXPRESS,9450428,060W,VANCOUVER,SHANGHAI,03-10-2020 14:30,11-10-2020 20:22,40ST,N,,
426194,HYUNDAI BRAVE,9346304,089W,VANCOUVER,SHANGHAI,09-10-2020 04:00,17-10-2020 22:20,40ST,N,,
426198,HYUNDAI TOKYO,9305673,126W,VANCOUVER,SHANGHAI,20-10-2020 04:40,22-10-2020 13:15,40ST,N,,
426200,HYUNDAI TOKYO,9305673,126W,VANCOUVER,SHANGHAI,20-10-2020 04:40,24-10-2020 18:39,40ST,N,,
426212,HYUNDAI BRAVE,9346304,089W,VANCOUVER,SHANGHAI,09-10-2020 04:00,18-10-2020 17:52,40ST,N,,
426213,HYUNDAI BRAVE,9346304,089W,VANCOUVER,SHANGHAI,09-10-2020 04:00,14-10-2020 02:47,40ST,N,,
426236,HYUNDAI BRAVE,9346304,089W,VANCOUVER,SHANGHAI,09-10-2020 04:00,14-10-2020 01:31,40ST,N,,
426238,HYUNDAI BRAVE,9346304,089W,VANCOUVER,SHANGHAI,09-10-2020 04:00,16-10-2020 00:43,40ST,N,,
426278,HYUNDAI BRAVE,9346304,089W,VANCOUVER,SHANGHAI,09-10-2020 04:00,17-10-2020 12:26,40ST,N,,
426282,HYUNDAI BRAVE,9346304,089W,VANCOUVER,SHANGHAI,09-10-2020 04:00,17-10-2020 12:39,40ST,N,,
426297,SEASPAN THAMES,9630377,017W,VANCOUVER,SHANGHAI,28-10-2020 14:35,30-10-2020 06:23,40ST,N,,
426322,HYUNDAI TOKYO,9305673,126W,VANCOUVER,SHANGHAI,20-10-2020 04:40,22-10-2020 23:53,40ST,N,,
426364,HYUNDAI TOKYO,9305673,126W,VANCOUVER,SHANGHAI,20-10-2020 04:40,23-10-2020 01:59,40ST,N,,
426383,HYUNDAI TOKYO,9305673,126W,VANCOUVER,SHANGHAI,20-10-2020 04:40,22-10-2020 19:13,40ST,N,,
426385,HYUNDAI TOKYO,9305673,126W,VANCOUVER,SHANGHAI,20-10-2020 04:40,23-10-2020 01:20,40ST,N,,
432448,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,11-10-2020 00:25,40ST,N,,
432792,YM MODERATION,9664897,051W,VANCOUVER,SHANGHAI,27-09-2020 08:30,23-10-2020 18:00,40ST,N,,
